Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
smoketest,,neighbour smoke test,,2019-10-11 13:05:50,2019-10-11 13:24:36,18m - 46.132s,INCOMPLETE
,,,,,,,
Test Cases/Create_Poll,,,,2019-10-11 13:05:50,2019-10-11 13:06:54,1m - 4.475s,PASSED
"startApplication(apk, true)",,,,2019-10-11 13:05:50,2019-10-11 13:06:10,19.806s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - NEXT""), 0)",,,,2019-10-11 13:06:10,2019-10-11 13:06:14,4.683s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - LOGIN""), 0)",,,,2019-10-11 13:06:14,2019-10-11 13:06:16,1.655s,PASSED
"setText(findTestObject(""Create_poll/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-10-11 13:06:16,2019-10-11 13:06:17,1.412s,PASSED
"setText(findTestObject(""Create_poll/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-10-11 13:06:17,2019-10-11 13:06:19,2.032s,PASSED
"tap(findTestObject(""Create_poll/android.widget.ImageButton0""), 0)",,,,2019-10-11 13:06:19,2019-10-11 13:06:21,1.531s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-10-11 13:06:21,2019-10-11 13:06:22,1.414s,PASSED
"tap(findTestObject(""Create_poll/android.widget.FrameLayout0""), 0)",,,,2019-10-11 13:06:22,2019-10-11 13:06:28,5.867s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - Poll""), 0)",,,,2019-10-11 13:06:28,2019-10-11 13:06:30,1.569s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Ask a question.""), ""Neighbourhood Automation using katalon "", 0)",,,,2019-10-11 13:06:30,2019-10-11 13:06:31,1.361s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Option 1 (Max 25 chars)""), ""yes"", 0)",,,,2019-10-11 13:06:31,2019-10-11 13:06:33,2.045s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Option 2 (Max 25 chars)""), ""no"", 0)",,,,2019-10-11 13:06:33,2019-10-11 13:06:35,1.891s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - 1 Week""), 0)",,,,2019-10-11 13:06:35,2019-10-11 13:06:39,4.170s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - 1 Day""), 0)",,,,2019-10-11 13:06:39,2019-10-11 13:06:40,1.175s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - NEXT (1)""), 0)",,,,2019-10-11 13:06:40,2019-10-11 13:06:42,1.517s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - NEXT (1)""), 0)",,,,2019-10-11 13:06:42,2019-10-11 13:06:43,1.088s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.FrameLayout0 (1)""), 0)",,,,2019-10-11 13:06:43,2019-10-11 13:06:47,4.310s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.LinearLayout0""), 0)",,,,2019-10-11 13:06:47,2019-10-11 13:06:51,3.537s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - Yes""), 0)",,,,2019-10-11 13:06:51,2019-10-11 13:06:52,1.291s,PASSED
closeApplication(),,,,2019-10-11 13:06:52,2019-10-11 13:06:54,1.931s,PASSED
,,,,,,,
Test Cases/User_Edit _Location,,,,2019-10-11 13:06:54,2019-10-11 13:07:58,1m - 3.675s,PASSED
"startApplication(apk, true)",,,,2019-10-11 13:06:54,2019-10-11 13:07:17,22.959s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - NEXT""), 0)",,,,2019-10-11 13:07:17,2019-10-11 13:07:22,4.431s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - LOGIN""), 0)",,,,2019-10-11 13:07:22,2019-10-11 13:07:24,2.153s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-10-11 13:07:24,2019-10-11 13:07:25,1.417s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-10-11 13:07:25,2019-10-11 13:07:28,2.440s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.ImageButton0""), 0)",,,,2019-10-11 13:07:28,2019-10-11 13:07:29,1.496s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-10-11 13:07:29,2019-10-11 13:07:31,1.420s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.FrameLayout0""), 0)",,,,2019-10-11 13:07:31,2019-10-11 13:07:36,5.228s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Settings""), 0)",,,,2019-10-11 13:07:36,2019-10-11 13:07:37,1.476s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Account""), 0)",,,,2019-10-11 13:07:37,2019-10-11 13:07:38,0.896s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Location""), 0)",,,,2019-10-11 13:07:38,2019-10-11 13:07:39,0.965s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - EDIT LOCATION""), 0)",,,,2019-10-11 13:07:39,2019-10-11 13:07:42,2.427s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - HOUSEFLAT.NO""), ""Near Kondapur Flot no 6_155/A"", 0)",,,,2019-10-11 13:07:42,2019-10-11 13:07:43,1.760s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - LANDMARK""), ""Near RDO office "", 0)",,,,2019-10-11 13:07:43,2019-10-11 13:07:45,1.961s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - SAVE AND PROCEED""), 0)",,,,2019-10-11 13:07:45,2019-10-11 13:07:48,2.560s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - CONFIRM LOCATION""), 0)",,,,2019-10-11 13:07:48,2019-10-11 13:07:50,1.656s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.ImageView0""), 0)",,,,2019-10-11 13:07:50,2019-10-11 13:07:51,1.630s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.LinearLayout0""), 0)",,,,2019-10-11 13:07:51,2019-10-11 13:07:55,3.592s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Yes""), 0)",,,,2019-10-11 13:07:55,2019-10-11 13:07:56,1.279s,PASSED
closeApplication(),,,,2019-10-11 13:07:56,2019-10-11 13:07:58,1.816s,PASSED
,,,,,,,
Test Cases/Explore_All Members,,,,2019-10-11 13:07:58,2019-10-11 13:08:52,54.319s,PASSED
"startApplication(apk, true)",,,,2019-10-11 13:07:58,2019-10-11 13:08:21,23.322s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - NEXT""), 0)",,,,2019-10-11 13:08:21,2019-10-11 13:08:26,4.304s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - LOGIN""), 0)",,,,2019-10-11 13:08:26,2019-10-11 13:08:27,1.544s,PASSED
"setText(findTestObject(""Explore_All_Members/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-10-11 13:08:27,2019-10-11 13:08:29,1.413s,PASSED
"setText(findTestObject(""Explore_All_Members/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-10-11 13:08:29,2019-10-11 13:08:31,2.029s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.ImageButton0""), 0)",,,,2019-10-11 13:08:31,2019-10-11 13:08:32,1.503s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-10-11 13:08:32,2019-10-11 13:08:33,1.422s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.FrameLayout0""), 0)",,,,2019-10-11 13:08:33,2019-10-11 13:08:40,6.062s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - View All""), 0)",,,,2019-10-11 13:08:40,2019-10-11 13:08:41,1.471s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.ImageButton0 (1)""), 0)",,,,2019-10-11 13:08:41,2019-10-11 13:08:45,3.719s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.FrameLayout0 (1)""), 0)",,,,2019-10-11 13:08:45,2019-10-11 13:08:46,1.260s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.LinearLayout0""), 0)",,,,2019-10-11 13:08:46,2019-10-11 13:08:49,2.963s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - Yes""), 0)",,,,2019-10-11 13:08:49,2019-10-11 13:08:50,1.358s,PASSED
closeApplication(),,,,2019-10-11 13:08:50,2019-10-11 13:08:52,1.846s,PASSED
,,,,,,,
Test Cases/Post_Buy,,,,2019-10-11 13:08:52,2019-10-11 13:09:58,1m - 6.152s,PASSED
"startApplication(apk, true)",,,,2019-10-11 13:08:52,2019-10-11 13:09:15,23.122s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.TextView0 - NEXT""), 0)",,,,2019-10-11 13:09:15,2019-10-11 13:09:20,4.434s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.TextView0 - LOGIN""), 0)",,,,2019-10-11 13:09:20,2019-10-11 13:09:21,1.497s,PASSED
"setText(findTestObject(""Post_Buy/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-10-11 13:09:21,2019-10-11 13:09:23,1.403s,PASSED
"setText(findTestObject(""Post_Buy/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-10-11 13:09:23,2019-10-11 13:09:25,1.960s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.ImageButton0""), 0)",,,,2019-10-11 13:09:25,2019-10-11 13:09:26,1.542s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-10-11 13:09:26,2019-10-11 13:09:28,1.431s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.FrameLayout0""), 0)",,,,2019-10-11 13:09:28,2019-10-11 13:09:32,4.492s,PASSED
"tap(findTestObject(""Post_General/android.widget.TextView0 - Post""), 0)",,,,2019-10-11 13:09:32,2019-10-11 13:09:35,2.670s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.RadioButton0 - Buy Sell or Rent""), 0)",,,,2019-10-11 13:09:35,2019-10-11 13:09:36,1.379s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.TextView0 - NEXT (1)""), 0)",,,,2019-10-11 13:09:36,2019-10-11 13:09:38,1.389s,PASSED
"setText(findTestObject(""Post_Buy/android.widget.EditText0 - Title""), ""Buy a oneplus mobile"", 0)",,,,2019-10-11 13:09:38,2019-10-11 13:09:39,1.349s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.Switch0 - Off""), 0)",,,,2019-10-11 13:09:39,2019-10-11 13:09:41,1.973s,PASSED
