Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
smoketest,,neighbour smoke test,,2019-09-24 14:51:25,2019-09-24 15:10:55,19m - 30.307s,INCOMPLETE
,,,,,,,
Test Cases/User_Login,,,,2019-09-24 14:51:25,2019-09-24 14:51:39,14.020s,PASSED
keywords = new customKeywords.Keywords(),,,,2019-09-24 14:51:25,2019-09-24 14:51:25,0.004s,PASSED
try,,,,2019-09-24 14:51:25,2019-09-24 14:51:39,13.758s,FAILED
catch (Exception e),,,,2019-09-24 14:51:39,2019-09-24 14:51:39,0.019s,PASSED
,,,,,,,
Test Cases/Create_Poll,,,,2019-09-24 14:51:39,2019-09-24 14:52:53,1m - 14.424s,PASSED
"startApplication(""C:\Users\sudheer.indlamudi\Downloads\india.com_v1.2.1.apk"", true)",,,,2019-09-24 14:51:39,2019-09-24 14:52:09,29.867s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - NEXT""), 0)",,,,2019-09-24 14:52:09,2019-09-24 14:52:13,4.315s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - LOGIN""), 0)",,,,2019-09-24 14:52:13,2019-09-24 14:52:15,1.585s,PASSED
"setText(findTestObject(""Create_poll/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-09-24 14:52:15,2019-09-24 14:52:17,1.507s,PASSED
"setText(findTestObject(""Create_poll/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-09-24 14:52:17,2019-09-24 14:52:19,2.027s,PASSED
"tap(findTestObject(""Create_poll/android.widget.ImageButton0""), 0)",,,,2019-09-24 14:52:19,2019-09-24 14:52:20,1.547s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-09-24 14:52:20,2019-09-24 14:52:22,1.449s,PASSED
"tap(findTestObject(""Create_poll/android.widget.FrameLayout0""), 0)",,,,2019-09-24 14:52:22,2019-09-24 14:52:26,4.894s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - Poll""), 0)",,,,2019-09-24 14:52:26,2019-09-24 14:52:29,2.704s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Ask a question.""), ""Neighbourhood Automation using katalon "", 0)",,,,2019-09-24 14:52:29,2019-09-24 14:52:31,1.363s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Option 1 (Max 25 chars)""), ""yes"", 0)",,,,2019-09-24 14:52:31,2019-09-24 14:52:33,2.075s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Option 2 (Max 25 chars)""), ""no"", 0)",,,,2019-09-24 14:52:33,2019-09-24 14:52:35,1.963s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - 1 Week""), 0)",,,,2019-09-24 14:52:35,2019-09-24 14:52:38,3.896s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - 1 Day""), 0)",,,,2019-09-24 14:52:38,2019-09-24 14:52:40,1.082s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - NEXT (1)""), 0)",,,,2019-09-24 14:52:40,2019-09-24 14:52:41,1.829s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - NEXT (1)""), 0)",,,,2019-09-24 14:52:41,2019-09-24 14:52:42,1.137s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.FrameLayout0 (1)""), 0)",,,,2019-09-24 14:52:42,2019-09-24 14:52:46,3.870s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.LinearLayout0""), 0)",,,,2019-09-24 14:52:46,2019-09-24 14:52:50,3.710s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - Yes""), 0)",,,,2019-09-24 14:52:50,2019-09-24 14:52:51,1.300s,PASSED
closeApplication(),,,,2019-09-24 14:52:51,2019-09-24 14:52:53,2.117s,PASSED
,,,,,,,
Test Cases/User_Edit _Location,,,,2019-09-24 14:52:53,2019-09-24 14:53:54,1m - 0.258s,PASSED
"startApplication(""C:\Users\sudheer.indlamudi\Downloads\india.com_v1.2.1.apk"", true)",,,,2019-09-24 14:52:54,2019-09-24 14:53:15,21.111s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - NEXT""), 0)",,,,2019-09-24 14:53:15,2019-09-24 14:53:19,4.470s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - LOGIN""), 0)",,,,2019-09-24 14:53:19,2019-09-24 14:53:21,1.642s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-09-24 14:53:21,2019-09-24 14:53:22,1.433s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-09-24 14:53:22,2019-09-24 14:53:24,1.989s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.ImageButton0""), 0)",,,,2019-09-24 14:53:24,2019-09-24 14:53:26,1.555s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-09-24 14:53:26,2019-09-24 14:53:27,1.449s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.FrameLayout0""), 0)",,,,2019-09-24 14:53:27,2019-09-24 14:53:32,4.310s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Settings""), 0)",,,,2019-09-24 14:53:32,2019-09-24 14:53:33,1.516s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Account""), 0)",,,,2019-09-24 14:53:33,2019-09-24 14:53:34,0.934s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Location""), 0)",,,,2019-09-24 14:53:34,2019-09-24 14:53:35,1.035s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - EDIT LOCATION""), 0)",,,,2019-09-24 14:53:35,2019-09-24 14:53:38,2.536s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - HOUSEFLAT.NO""), ""Near Kondapur Flot no 6_155/A"", 0)",,,,2019-09-24 14:53:38,2019-09-24 14:53:39,1.760s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - LANDMARK""), ""Near RDO office "", 0)",,,,2019-09-24 14:53:39,2019-09-24 14:53:41,1.931s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - SAVE AND PROCEED""), 0)",,,,2019-09-24 14:53:41,2019-09-24 14:53:44,2.285s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - CONFIRM LOCATION""), 0)",,,,2019-09-24 14:53:44,2019-09-24 14:53:45,1.704s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.ImageView0""), 0)",,,,2019-09-24 14:53:45,2019-09-24 14:53:47,1.673s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.LinearLayout0""), 0)",,,,2019-09-24 14:53:47,2019-09-24 14:53:50,3.537s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Yes""), 0)",,,,2019-09-24 14:53:50,2019-09-24 14:53:52,1.263s,PASSED
closeApplication(),,,,2019-09-24 14:53:52,2019-09-24 14:53:54,2.010s,PASSED
,,,,,,,
Test Cases/Explore_All Members,,,,2019-09-24 14:53:54,2019-09-24 14:54:46,52.406s,PASSED
"startApplication(""C:\Users\sudheer.indlamudi\Downloads\india.com_v1.2.1.apk"", true)",,,,2019-09-24 14:53:54,2019-09-24 14:54:15,21.315s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - NEXT""), 0)",,,,2019-09-24 14:54:15,2019-09-24 14:54:20,4.403s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - LOGIN""), 0)",,,,2019-09-24 14:54:20,2019-09-24 14:54:21,1.601s,PASSED
"setText(findTestObject(""Explore_All_Members/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-09-24 14:54:21,2019-09-24 14:54:23,1.428s,PASSED
"setText(findTestObject(""Explore_All_Members/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-09-24 14:54:23,2019-09-24 14:54:25,2.051s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.ImageButton0""), 0)",,,,2019-09-24 14:54:25,2019-09-24 14:54:26,1.528s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-09-24 14:54:26,2019-09-24 14:54:28,1.793s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.FrameLayout0""), 0)",,,,2019-09-24 14:54:28,2019-09-24 14:54:32,4.196s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - View All""), 0)",,,,2019-09-24 14:54:32,2019-09-24 14:54:36,3.826s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.ImageButton0 (1)""), 0)",,,,2019-09-24 14:54:36,2019-09-24 14:54:38,2.088s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.FrameLayout0 (1)""), 0)",,,,2019-09-24 14:54:38,2019-09-24 14:54:39,1.362s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.LinearLayout0""), 0)",,,,2019-09-24 14:54:39,2019-09-24 14:54:43,3.537s,PASSED
"tap(findTestObject(""Explore_All_Members/android.widget.TextView0 - Yes""), 0)",,,,2019-09-24 14:54:43,2019-09-24 14:54:44,1.298s,PASSED
closeApplication(),,,,2019-09-24 14:54:44,2019-09-24 14:54:46,1.873s,PASSED
,,,,,,,
Test Cases/Post_Buy,,,,2019-09-24 14:54:46,2019-09-24 14:55:58,1m - 11.915s,PASSED
"startApplication(""C:\Users\sudheer.indlamudi\Downloads\india.com_v1.2.1.apk"", true)",,,,2019-09-24 14:54:46,2019-09-24 14:55:15,28.860s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.TextView0 - NEXT""), 0)",,,,2019-09-24 14:55:15,2019-09-24 14:55:19,4.327s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.TextView0 - LOGIN""), 0)",,,,2019-09-24 14:55:19,2019-09-24 14:55:21,1.622s,PASSED
"setText(findTestObject(""Post_Buy/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-09-24 14:55:21,2019-09-24 14:55:23,1.405s,PASSED
"setText(findTestObject(""Post_Buy/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-09-24 14:55:23,2019-09-24 14:55:24,1.935s,PASSED
