Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
smoketest,,neighbour smoke test,,2019-09-30 10:24:58,2019-09-30 10:43:50,18m - 51.565s,INCOMPLETE
,,,,,,,
Test Cases/Create_Poll,,,,2019-09-30 10:24:59,2019-09-30 10:26:26,1m - 27.761s,PASSED
"startApplication(""C:\Users\sudheer.indlamudi\Downloads\india.com-v1.2.2.apk"", true)",,,,2019-09-30 10:24:59,2019-09-30 10:25:43,43.819s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - NEXT""), 0)",,,,2019-09-30 10:25:43,2019-09-30 10:25:47,4.304s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - LOGIN""), 0)",,,,2019-09-30 10:25:47,2019-09-30 10:25:49,1.640s,PASSED
"setText(findTestObject(""Create_poll/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-09-30 10:25:49,2019-09-30 10:25:50,1.425s,PASSED
"setText(findTestObject(""Create_poll/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-09-30 10:25:50,2019-09-30 10:25:52,2.051s,PASSED
"tap(findTestObject(""Create_poll/android.widget.ImageButton0""), 0)",,,,2019-09-30 10:25:52,2019-09-30 10:25:54,1.519s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-09-30 10:25:54,2019-09-30 10:25:55,1.426s,PASSED
"tap(findTestObject(""Create_poll/android.widget.FrameLayout0""), 0)",,,,2019-09-30 10:25:55,2019-09-30 10:26:00,5.350s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - Poll""), 0)",,,,2019-09-30 10:26:00,2019-09-30 10:26:02,1.612s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Ask a question.""), ""Neighbourhood Automation using katalon "", 0)",,,,2019-09-30 10:26:02,2019-09-30 10:26:03,1.338s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Option 1 (Max 25 chars)""), ""yes"", 0)",,,,2019-09-30 10:26:03,2019-09-30 10:26:05,2.169s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Option 2 (Max 25 chars)""), ""no"", 0)",,,,2019-09-30 10:26:05,2019-09-30 10:26:08,2.390s,PASSED
